Group,subjnr,age,edulevel,sex,hobbymus,hrsmusda,cdsbuy,cdsburn,concerts,musicmag,chorusin,singalon,singinstr,monthsinginstr,instrume,yearsins,practmom,musmakmo,practpas,musmakpa,paidless,paidgigs,gigs
1,1,21,2,2,1,3.5,3,5,2,1,1,1,1,50,1,4.15,2,4,8,8,50,38,50
1,2,29,2,2,1,2,1,4,2,1,1,2,0, ,1,16,0,8,10,20,36,50,200
1,3,27,2,1,1,4,2,2,0,0,0,1,0, ,1,3,1,1,2,4,24,0,0
1,4, ,4,2, ,4,0,15,1,0,0,3,0, ,1,3,0,20,40,10,0,6,30
1,5,25,2,1,1,.5,0,0,1,0,1,1,0, ,1,20,1,5,2,6,60,0,50
1,6,28,2,1,0,2,0,0,0,0,0,3,0, ,1,3,0,0,1.5,1.5,0,0,5
2,7,25,2,2,1,4,0, , ,1, ,1,0, ,1,12,2,6,20,25,30,25,55
2,8,24,2,1,1,4,2,3,4,0,0,2,0, ,1,12,0,0,5,6,84,0,3
2,9,23,1,1,1,4,4,2,1,0,1,1,0, ,1,8,.5,2,6,8,80,2,40
2,10,25,2,1,1,5,5,30,4,1,0,3,0, ,1,2,4,5,10,10,24,0,2
2,11,25,4,2,1,8,5,0,4,0,0,3,0, ,1,10,10,20,20,20,60,20,60
2,12,33,4,2,1,3,0,0,1,0,0,3,1,10,1,22,0,1, ,18,104,24,37
2,13,27,4,2,0,3,0,2,5,1,0,2,0, ,1,4,0,0,6,10,20,0,3
2,14,38,4,2,0,1.5,1,1,1,1,0,2,0, ,0, , , , , , , , 
1,15,29,4,1,0,.1,0,0,1,0,0,2,0, ,1,3,0,0,.5,2.5,0,0,10
1,16,33,4,2,0,2,0,0,1,0,0,2,0, ,1,5,0,0,3,5,60,0,6
1,17,23,2,1,1,2.5,0,3,2,0,1,1,1,36,1,19,.5,6,20,25,144,6,15
1,18,23,2,2,0,.5,0,0,0,0,0,2,0, ,1,1.5,0,0,2,3,18,0,0
2,19,24,2,1,1,3,1,4,0,0,0,1,1,3,1,8,0,0,5,7.5,96,0,0
2,20,22,2,1,1,2,1,4,4,0,0,3,0, ,1,14,5,5,14,16,140,0,20
2,21,37,4,2,1,4,0,5,0,1,0,3,0, ,1, ,0,0,4,5.5,12,0,2
1,22,23,2,1,1,2.5,0,2.5,0,0,0,1,1,17,0, , , , , , , , 
2,23,23,2,2,1,1,2,1,4,0,0,3,0, ,1,14,6,9,8,10,72,0,3
1,24,31,4,2,1,1,0,1,2,0,1,1,1,36,1,18,0,0,20,30,120,30,60
2,25,21,2,1,0,.5,0,1,0,0,1,1,0, ,1,10,0,4,6,3.5,120,0,20
1,26,27,4,1,0,.5,0,0,2,0,0,2,0, ,1,2,0,0,2,3,24,0,3
1,27,27,4,1,0,3,0,0,0,0,0,3,0, ,1,.5,0,0,2,2,6,2,4
2,28,24,2,1,1,5.5,0,5,0,0,0,2,0, ,0, , , , , , , , 
1,29,23,4,1,0,3,0,1.5,1,0,0,4,0, ,1,6,0,0,5,6,60,0,1
1,30,30,4,1,.5,.5,0,0,0,0,1,1,1,36,1,25,0,2,9,9,75,0,50
2,31,23,1,2,0,2.75,0,8,0,0,0,1,0, ,1,0,.15,21,21,12,0,1, 
