Group,subjnr,age,edulevel,sex,hobbymus,hrsmusda,cdsbuy,cdsburn,concerts,musicmag,chorusin,singalon,singinstr,monthsinginstr,instrume,yearsins,practmom,musmakmo,practpas,musmakpa,paidless,paidgigs,gigs,p_id,musical_experience
A,1,21,2,2,1,3.5,3,5,2,1,1,1,1,50,1,4.15,2,4,8,8,50,38,50,VP1,0.4667928912091102
A,2,29,2,2,1,2,1,4,2,1,1,2,0,0,1,16,0,8,10,20,36,50,200,VP2,1.4381158765937927
A,3,27,2,1,1,4,2,2,0,0,0,1,0,0,1,3,1,1,2,4,24,0,0,VP3,-0.5197173451455297
A,4,NA,4,2,NA,4,0,15,1,0,0,3,0,0,1,3,0,20,40,10,0,6,30,VP4,-0.3131497555313011
A,5,25,2,1,1,0.5,0,0,1,0,1,1,0,0,1,20,1,5,2,6,60,0,50,VP5,0.49161328273566407
A,6,28,2,1,0,2,0,0,0,0,0,3,0,0,1,3,0,0,1.5,1.5,0,0,5,VP6,-0.607782977303962
B,7,25,2,2,1,4,0,NA,NA,1,NA,1,0,0,1,12,2,6,20,25,30,25,55,VP7,0.6905266292613679
B,8,24,2,1,1,4,2,3,4,0,0,2,0,0,1,12,0,0,5,6,84,0,3,VP8,-0.08436123215227243
B,9,23,1,1,1,4,4,2,1,0,1,1,0,0,1,8,0.5,2,6,8,80,2,40,VP9,0.21812841999304974
B,10,25,2,1,1,5,5,30,4,1,0,3,0,0,1,2,4,5,10,10,24,0,2,VP10,-0.4186817291636126
B,11,25,4,2,1,8,5,0,4,0,0,3,0,0,1,10,10,20,20,20,60,20,60,VP11,0.4167429021340342
B,12,33,4,2,1,3,0,0,1,0,0,3,1,10,1,22,0,1,0,18,104,24,37,VP12,0.8924496349443553
B,13,27,4,2,0,3,0,2,5,1,0,2,0,0,1,4,0,0,6,10,20,0,3,VP13,-0.3670184095259118
B,14,38,4,2,0,1.5,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,VP14,-0.7392195057189143
A,15,29,4,1,0,0.1,0,0,1,0,0,2,0,0,1,3,0,0,0.5,2.5,0,0,10,VP15,-0.5725482971158792
A,16,33,4,2,0,2,0,0,1,0,0,2,0,0,1,5,0,0,3,5,60,0,6,VP16,-0.3477036782888711
A,17,23,2,1,1,2.5,0,3,2,0,1,1,1,36,1,19,0.5,6,20,25,144,6,15,VP17,1.094037025969191
A,18,23,2,2,0,0.5,0,0,0,0,0,2,0,0,1,1.5,0,0,2,3,18,0,0,VP18,-0.5960636719124507
B,19,24,2,1,1,3,1,4,0,0,0,1,1,3,1,8,0,0,5,7.5,96,0,0,VP19,-0.03498973438599392
B,20,22,2,1,1,2,1,4,4,0,0,3,0,0,1,14,5,5,14,16,140,0,20,VP20,0.3480609081965574
B,21,37,4,2,1,4,0,5,0,1,0,3,0,0,1,0,0,0,4,5.5,12,0,2,VP21,-0.5943401758622048
A,22,23,2,1,1,2.5,0,2.5,0,0,0,1,1,17,0,0,0,0,0,0,0,0,0,VP22,-0.623069585233443
B,23,23,2,2,1,1,2,1,4,0,0,3,0,0,1,14,6,9,8,10,72,0,3,VP23,0.029909112595224767
A,24,31,4,2,1,1,0,1,2,0,1,1,1,36,1,18,0,0,20,30,120,30,60,VP24,1.43381805290178
B,25,21,2,1,0,0.5,0,1,0,0,1,1,0,0,1,10,0,4,6,3.5,120,0,20,VP25,0.19383245930047127
A,26,27,4,1,0,0.5,0,0,2,0,0,2,0,0,1,2,0,0,2,3,24,0,3,VP26,-0.560224098075004
A,27,27,4,1,0,3,0,0,0,0,0,3,0,0,1,0.5,0,0,2,2,6,2,4,VP27,-0.6437760333718466
B,28,24,2,1,1,5.5,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,VP28,-0.7392195057189143
A,29,23,4,1,0,3,0,1.5,1,0,0,4,0,0,1,6,0,0,5,6,60,0,1,VP29,-0.31303583604857393
A,30,30,4,1,0.5,0.5,0,0,0,0,1,1,1,36,1,25,0,2,9,9,75,0,50,VP30,0.8447323662436332
B,31,23,1,2,0,2.75,0,8,0,0,0,1,0,0,1,0,0.15,21,21,12,0,1,0,VP31,-0.4838658460198584
